tweetText,hashtags,user,date,state,latitude,longitude,sentiment
The same press that have raised hell about Trump every day since 2016 now seem confident things will return to normal under Biden..  Tells you who the source of the uproar really was.. not Trump but the partisan press who decide!    #USElection  #USElectionResults2020,,TwoShep,Sun Nov 08 07:42:50 +0000 2020,XXXX,99999.99,99999.99,negative
"Congratulations President Elect @JoeBiden on securing a victory in #USElectionResults2020. Pakistan stands for peace in the region, we dont just say it, we have also proven that though our actions.      #bidenharis2020 https//t.co/SNwzFg1FZq",,NadeemWaqasAra2,Sun Nov 08 07:42:52 +0000 2020,XXXX,99999.99,99999.99, positive 
This is good.,,xthread,Sun Nov 08 07:42:57 +0000 2020,XXXX,99999.99,99999.99, positive 
@UnstableRe Nnake! How you bebz? Are congratulations in order? #USElectionResults2020,,sade_shoalane,Sun Nov 08 07:42:57 +0000 2020,XXXX,99999.99,99999.99, positive 
 I want people to value teachers and know their contributions and lift up the profession  soon to be the US First Lady.  ... #JillBiden #USElectionResults2020 https//t.co/R3Nj8fLDsc,,i_am_anki_,Sun Nov 08 07:42:59 +0000 2020,XXXX,99999.99,99999.99, positive 
US Election 2020 Result Declared Joe Biden elected the new President of the United States. Joe Biden has been elected the 46th President of the United States.  Congratulations President-elect @JoeBiden for their remarkable win!   #USElection2020 #JoeBidenKamalaHarris2020 https//t.co/EtiWWavDrS,,hunaish,Sun Nov 08 07:43:03 +0000 2020,XXXX,99999.99,99999.99, positive 
" At our best America is a beacon for our globe. We will lead not only by the example of pur power, but by the power of our example    https//t.co/77kN1Ov28X #usavalg #uspol #USElections2020",,tokehelmo,Sun Nov 08 07:43:03 +0000 2020,XXXX,99999.99,99999.99, positive 
#JoeBidenKamalaHarris2020 #USAelection2020 @SenKamalaHarris @KamalaHarris My views on irritants and way forward for #PakistanMovingForward with Israr Kasana https//t.co/QWwlXnrKOi,,Samson_Sharaf,Sun Nov 08 07:43:04 +0000 2020,XXXX,99999.99,99999.99,negative
#Trump Got. the 2020-all Inclusive Package #BidenHarris  #president #covid19 #yourefired #youlost #Loser #bidenharis2020 #USElection2020 #MAGA #Trump2020 #LoserInChief #Republicans #RepublicFightsBack https//t.co/f3m2DwL7lM,,Corso_TieMan,Sun Nov 08 07:43:06 +0000 2020,XXXX,99999.99,99999.99,negative
@IsraeliPM should learn from Mexican President  ,,tonyewen,Sun Nov 08 07:43:11 +0000 2020,WA,99999.99,99999.99,neutral
Feeling sed for Tatya   #Modi #DonaldTrump #USElection2020 #JoeBiden #NarendraModi #usa #PresidentialElection https//t.co/kAWYlRf9dE,,MemesStrugglers,Sun Nov 08 07:43:12 +0000 2020,XXXX,99999.99,99999.99, positive 
Dare to do the same for Indian Gov?,,YuvarajanRajan,Sun Nov 08 07:43:13 +0000 2020,XXXX,99999.99,99999.99,neutral
@micksmohan @narendramodi sharam Karo #USElectionResults2020 ki badhaai Dr rahe Hain ap. #maharashtragovt kya Kar Rahi hai ispar kab bolenge. Please do something.  Don't let them suppress the voice of #ArnabGoswami . Please   @AmitShah @PMOIndia,,AkOfcourse,Sun Nov 08 07:43:19 +0000 2020,XXXX,99999.99,99999.99, positive 
Americans will pay for what they did to @realDonaldTrump #USElectionResults2020,,Bahle_Tandwa,Sun Nov 08 07:43:20 +0000 2020,XXXX,99999.99,99999.99,negative
Thank you for all the payouts @paddypower  just 2 small ones outstanding - can you pay those as well?  Straight Forecast - 2020 Presidential Election Biden beats Trump - Straight Forecast - 2020 Presidential Election #politicalbetting #USElections2020,,Vince_Stanzione,Sun Nov 08 07:43:21 +0000 2020,XXXX,99999.99,99999.99, positive 
"""wE HavE prOof oF FRauD, jOE bIDen cheated""  Yeah well I have proof of Russian collusion. How do you like these apples?  #USAelection2020 #RussianCollusion #Trump #sexy #Putin https//t.co/pQo7t3iPHt",,rob__cummings,Sun Nov 08 07:43:26 +0000 2020,XXXX,99999.99,99999.99, positive 
Congrat @JoeBiden   people have faith in you.,,AsadSulaiman08,Sun Nov 08 07:43:34 +0000 2020,XXXX,99999.99,99999.99, positive 
"#JoeBiden has made history, being the first elected-president of the #USA to acknowledge the gay and transgender communities in his #victory speech.  #bidenspeech #TrumpIsARacist #USAelection2020 https//t.co/O8WZ9y2OiC",,dominicabuhanna,Sun Nov 08 07:43:36 +0000 2020,XXXX,99999.99,99999.99,neutral
Don't expect too much from #KamalaHarris  as she belongs to Indian origin. But she would tend to become more liberal. Dear #indian become self-reliant #USElectionResults2020 #USAelection2020 #Modi,,SatymMeena,Sun Nov 08 07:43:39 +0000 2020,XXXX,99999.99,99999.99, positive 
"                           Many think that they are ""enlightened"", but they are trained enough only to live with the delusion of enlightenment.",,alialiofpk,Sun Nov 08 07:43:40 +0000 2020,XXXX,99999.99,99999.99, positive 
@JoeBiden @KamalaHarris Congratulations   from India  ,,SalmaJavidKhan,Sun Nov 08 07:43:42 +0000 2020,XXXX,99999.99,99999.99, positive 
@JoeBiden  Congratulations  For win the #USElectionResults2020  We hope you do well in America.,,Abhinav_series,Sun Nov 08 07:43:47 +0000 2020,XXXX,99999.99,99999.99, positive 
Can't believe I'm saying this but US elections actually helped me restore faith in humanity this year  Finally we are here! #BidenHarris2020 #USElectionResults2020 #USAelection2020 #JoeBidenKamalaHarris2020 #KamalaHarrisVP #LoveWins,,NaitriPatel5,Sun Nov 08 07:43:47 +0000 2020,XXXX,99999.99,99999.99, positive 
"@Rylan @CNN @JohnKingCNN https//t.co/vimyIm4s4R listen to this, it's brilliant.",,Jem_81,Sun Nov 08 07:43:56 +0000 2020,XXXX,99999.99,99999.99, positive 
