tweetText,hashtags,user,date,state,latitude,longitude,sentiment
"Biden projected to take Arizona, cementing election win   https//t.co/4W6bUUBIKG #News #World #UsElection2020 #Us https//t.co/WFeRTBNvqB",,h24news_ie,Fri Nov 13 06:50:27 +0000 2020,XXXX,99999.99,99999.99, positive 
"It's been fun following #USElection2020 but it appears I've been too distracted and missed some home developments, namely that satire was officially bludgeoned to death by UKIP",,SimWood4,Fri Nov 13 06:51:07 +0000 2020,XXXX,99999.99,99999.99,negative
"No, it s not about the #USElectionResults but could also be @TheEconomist https//t.co/tVg58YfZG3",,alemannoEU,Fri Nov 13 06:51:13 +0000 2020,XXXX,99999.99,99999.99,negative
Trump s voter fraud claims one more step in delegitimising democracy Obama https//t.co/MEpx91cB7i  #DonaldTrump #BarackObama #JoeBiden #USPresidentialElections2020,,thenewsstand_in,Fri Nov 13 06:51:20 +0000 2020,XXXX,99999.99,99999.99,negative
@donnabrazile Biden will never be #POTUS46 https//t.co/LCbMz0PCSH,,MD_NUCKLES,Fri Nov 13 06:51:29 +0000 2020,XXXX,99999.99,99999.99,neutral
"US Department of Homeland Security calls election ""the most secure in American history"" #USElection2020  https//t.co/JrMzNjrxYo",,chriswallace73,Fri Nov 13 06:51:35 +0000 2020,XXXX,99999.99,99999.99, positive 
Such hypocritical words from the nationalist FM &amp; Snp who work every day to overturn Scotlands 2014 No vote &amp; who dismiss the inevitable fact that Scotland chose to stay in the UK &amp; rejected Snp independence. Sturgeon is a snake oil salesman just like Salmond. #ResignSturgeon,,SummeryJen,Fri Nov 13 06:52:01 +0000 2020,XXXX,99999.99,99999.99,negative
Joe Biden in White House... #AmericaDecides2020 #USElection2020 #USElectionResults2020 #USAelection2020 https//t.co/wGH3f6IEeF,,Rashmi_Reports,Fri Nov 13 06:52:28 +0000 2020,XXXX,99999.99,99999.99,neutral
Murica the place where people can build nuclear weapons but often cannot properly pronounce simple names like Kamala. SMH. #USElection2020 #KamalaHarris #davidperdue #georgia #georgiasenaterace #johnossoff #Democrats #Republicans,,BungRidwan23,Fri Nov 13 06:53:25 +0000 2020,XXXX,99999.99,99999.99,negative
"President-elect Joe Biden wins Arizona, gaining an insurmountable lead in the electoral college map 290-217  #USElection2020 #Elections2020 https//t.co/dcNttPfSC8",,geekgodreview,Fri Nov 13 06:53:46 +0000 2020,XXXX,99999.99,99999.99, positive 
It could add to pressure on companies that already face U.S #UsElectionResults #JoeBiden #UsPresidentialElection2020 https//t.co/XTW4aTK1yx,,h24news_in,Fri Nov 13 06:55:05 +0000 2020,XXXX,99999.99,99999.99,negative
