tweetText,hashtags,user,date,state,latitude,longitude,sentiment
10 Trillion IQ....,,Da_Faceless_Man,Wed Nov 11 09:59:46 +0000 2020,XXXX,99999.99,99999.99,neutral
"https//t.co/qkRk6mfOUh 3 minute clip, well worth watching  #USAElections2020 #USElection2020 #USElections2020",,MartinDrewry,Wed Nov 11 09:59:59 +0000 2020,XXXX,99999.99,99999.99, positive 
"Whoever runs this airline's Twitter page was our saving grace during the US election, easing the stress of awaiting the results by roasting the absolute hell out of Donald Trump.  #ryanair #uselection2020 #trump https//t.co/VInUXXnKcL",,TravelWeeklyAUS,Wed Nov 11 10:00:00 +0000 2020,XXXX,99999.99,99999.99,negative
"Pioneer Dj smart Dj Controller  Price  11,999/- Visit https//t.co/ckrd1VZDH8 Call/Whatsapp 7014060721 . Visit Store For More OFFERS #musicaltree #indianmusic #musicaltreestore #indianmusicians #MusicVideo #USElectionResults #musicaltreesales",,tree_musical,Wed Nov 11 10:00:01 +0000 2020,XXXX,99999.99,99999.99, positive 
SonyKapoor What it was REALLY like to vote in this #USAelection2020 pitted against all @GOP voter suppression efforts via @onekade  https//t.co/cQKcAWDq3v...,,chrisrabalais,Wed Nov 11 10:00:10 +0000 2020,XXXX,99999.99,99999.99, positive 
"Liberal or centre-left governments in Israel and the US, who pushed for a Palestinian state alongside a Jewish majority one, have arguably done settlers a greater service than rightwing hawks, writes @davidahearst https//t.co/U8ypFeaC9E #USElection2020",,AlShabaka,Wed Nov 11 10:00:14 +0000 2020,XXXX,99999.99,99999.99, positive 
The @GOP is trying to raise at least $60 million to fund legal challenges brought by President @realDonaldTrump over the #USPresidentialElection results. #USElectionResults #ElectionProtest  https//t.co/AlAPfMgM6a,,TheFinancialDi2,Wed Nov 11 10:00:20 +0000 2020,XXXX,99999.99,99999.99, positive 
Total Landscaping - when your personal lawyer needs decking. #USElection2020,,Corporalhumble,Wed Nov 11 10:00:25 +0000 2020,XXXX,99999.99,99999.99,neutral
The Times Called Officials in Every State No Evidence of Voter Fraud #USElection2020 #DonaldTrump https//t.co/LJ8y9SGdO5,,DizZzyMissLizzy,Wed Nov 11 10:00:48 +0000 2020,XXXX,99999.99,99999.99,negative
#Deepfakes are a problem during #elections. Did they affect #USElections2020? Should the #EU be worried too? We talked with experts from both sides of the Atlantic.  Check out what they said!    @witnessorg @PartnershipAi @tiktok_us @GPPI @eu_eeas https//t.co/UlkbpmcW8H,,DemocracyR,Wed Nov 11 10:01:02 +0000 2020,XXXX,99999.99,99999.99,negative
The Magnificent Delusions of @husainhaqqani  | https//t.co/iSUcdLe0ta by Asad Rahim Khan | Women Wrestling &amp; Mansoor Ijaz  Ref https//t.co/mqPAhG1DqM |   #Memogate  #JoeBiden #USElectionResults2020 #USAelection2020 #KerryLugarBill #MansoorIjaz # _ _  # _ _ _  https//t.co/dniUpXR2QV,,mughalbha,Wed Nov 11 10:01:31 +0000 2020,XXXX,99999.99,99999.99, positive 
"Indians tweeting about US elections, when it doesn't affect them  Meh  About Kamala Harris  Sure, also appreciate what's in India  Tweeting in favour of Trump Have you any shame? Like a little shame? Promoting bigotry, racism, lies and hatred #USElection2020 #JOEBIDEN",,moonkumithai,Wed Nov 11 10:01:40 +0000 2020,XXXX,99999.99,99999.99,negative
Last #Riggedelection in #SouthKorea was rehearsal for #USPresidentialElections2020   @TuckerCarlson @IngrahamAngle @RealCandaceO @benshapiro @FoxNews @ChanelRion @OANN @newsmax @RealJamesWoods @TrumpWarRoom @realTrumpForce @RudyGiuliani @GOPChairwoman,,lemonhamster,Wed Nov 11 10:01:48 +0000 2020,XXXX,99999.99,99999.99,neutral
"We have been patient so far, the MINURSO should either do the job or leave, we are tired of Algerian mercenaries  hiding behind the UN. https//t.co/R2JYestWCc",,joudiya2,Wed Nov 11 10:02:26 +0000 2020,XXXX,99999.99,99999.99,negative
Follow our page https//t.co/hOW3KpYyuf  #EndSARS #TheQueensGambit #Kenya #Crypto #cryptocurrency #Bitcoin #BTC #Ethiopia #Ethereum #USElectionResults2020 @RobMcNealy  @cctip_io draw 282828 rich 20 https//t.co/yxqHyQhCBi,,excoincial,Wed Nov 11 10:02:31 +0000 2020,XXXX,99999.99,99999.99, positive 
"Keeping it simple, short and relevant. Third article in the series ""US Election 2020"". Please like, follow and share.  https//t.co/LGwqUSFiqV  #USElectionResults2020 #USElection2020 #TrumpvsBiden #Biden2020 #USAElections2020 #Pakistan #UnitedKingdom #United #UnitedStates",,ShahharAlam,Wed Nov 11 10:02:54 +0000 2020,XXXX,99999.99,99999.99, positive 
@shawneee73 just a couple to be going on with. At the moment  the MSM here and in the US are avoiding covering voter fraud ,,penkett_arthur,Wed Nov 11 10:04:34 +0000 2020,XXXX,99999.99,99999.99,negative
"#JoeBiden is the winner of the #USElection2020, so what does that mean for the future of #Asia? Will the #Biden administration reset relations with #China?   We asked Ambassador Kurt Tong, the former U.S. consul general in #HongKong, for answers. https//t.co/1TYS2b7XaA",,fcchk,Wed Nov 11 10:04:47 +0000 2020,XXXX,99999.99,99999.99, positive 
